from 2.1
.rdata:00000001431305B8	0000002B	C - UTF-8	E:\\R6.Release\\bin\\x64.Final\\cpLauncher.pdb
.rdata:000000014312A6F0	0000002D	C	E:\\R6.Release\\dev\\src\\common\\app\\src\\app.cpp
.rdata:000000014308C330	00000038	C	E:\\R6.Release\\dev\\src\\common\\archive\\src\\fileIOImpl.cpp
.rdata:000000014312D080	00000037	C	E:\\R6.Release\\dev\\src\\common\\archive\\src\\fileTable.cpp
.rdata:000000014312CF58	00000036	C	E:\\R6.Release\\dev\\src\\common\\archive\\src\\instance.cpp
.rdata:0000000142FC38A8	0000003B	C	E:\\R6.Release\\dev\\src\\common\\engine\\src\\baseEngineInit.cpp
.rdata:000000014312AF60	0000003B	C	E:\\R6.Release\\dev\\src\\common\\engine\\src\\engineWatchdog.cpp
.rdata:00000001430BAA60	0000004B	C	E:\\R6.Release\\dev\\src\\common\\engine\\src\\gameAppBaseInitializationState.cpp
.rdata:00000001430BAAD0	00000040	C	E:\\R6.Release\\dev\\src\\common\\engine\\src\\gameAppRunningState.cpp
.rdata:000000014307EAE8	0000003E	C	E:\\R6.Release\\dev\\src\\common\\gameFramework\\src\\gameEngine.cpp
.rdata:000000014311D470	00000048	C	E:\\R6.Release\\dev\\src\\common\\gameFramework\\src\\gameStateMachineImpl.cpp
.rdata:0000000142FDFE90	00000039	C	E:\\R6.Release\\dev\\src\\common\\gameTweakDB\\src\\tweakDB.cpp
.rdata:000000014306C278	0000003B	C	E:\\R6.Release\\dev\\src\\common\\gameUI\\src\\globalTvSystem.cpp
.rdata:00000001430DB010	00000039	C	E:\\R6.Release\\dev\\src\\common\\game\\src\\aiArchetypeSet.cpp
.rdata:0000000143086610	00000051	C	E:\\R6.Release\\dev\\src\\common\\gpuApi\\src\\dx12\\gpuApiDX12AccelerationStructure.cpp
.rdata:0000000143088670	00000047	C	E:\\R6.Release\\dev\\src\\common\\gpuApi\\src\\dx12\\gpuApiDX12Descriptors.cpp
.rdata:00000001430873E0	00000041	C	E:\\R6.Release\\dev\\src\\common\\gpuApi\\src\\dx12\\gpuApiDX12Error.cpp
.rdata:00000001430864B8	00000039	C	E:\\R6.Release\\dev\\src\\common\\gpuApi\\src\\gpuApiCommon.cpp
.rdata:0000000142FB9AF8	0000003A	C	E:\\R6.Release\\dev\\src\\common\\inkCore\\src\\stateMachine.cpp
.rdata:0000000142F932D0	00000041	C	E:\\R6.Release\\dev\\src\\common\\networkCore\\include\\netBitBuffers.h
.rdata:0000000142F92C28	0000003F	C	E:\\R6.Release\\dev\\src\\common\\networkCore\\src\\netBitBuffers.cpp
.rdata:0000000142FA4110	00000044	C	E:\\R6.Release\\dev\\src\\common\\physics\\src\\physicsMaterialLibrary.cpp
.rdata:00000001430816C0	00000047	C	E:\\R6.Release\\dev\\src\\common\\redCompression\\src\\wrapperChunkedZlib.cpp
.rdata:0000000143081210	00000042	C	E:\\R6.Release\\dev\\src\\common\\redCompression\\src\\wrapperKraken.cpp
.rdata:00000001430AACC0	00000041	C	E:\\R6.Release\\dev\\src\\common\\redConfig\\include\\inGameConfigVar.h
.rdata:0000000142F9F2C0	00000043	C	E:\\R6.Release\\dev\\src\\common\\redConfig\\include\\inGameConfigVar.hpp
.rdata:0000000143081F50	00000041	C	E:\\R6.Release\\dev\\src\\common\\redConfig\\src\\inGameConfigGroup.cpp
.rdata:0000000143082180	00000042	C	E:\\R6.Release\\dev\\src\\common\\redConfig\\src\\inGameConfigReader.cpp
.rdata:0000000143082070	00000044	C	E:\\R6.Release\\dev\\src\\common\\redConfig\\src\\inGameConfigRegistry.cpp
.rdata:0000000143125E60	00000042	C	E:\\R6.Release\\dev\\src\\common\\redConfig\\src\\inGameConfigSystem.cpp
.rdata:0000000142F8E260	00000041	C	E:\\R6.Release\\dev\\src\\common\\redContainers\\src\\dynamicBuffer.cpp
.rdata:0000000143080D50	00000045	C	E:\\R6.Release\\dev\\src\\common\\redIO\\src\\redIOAsyncFileHandleCache.cpp
.rdata:0000000143080CB8	00000038	C	E:\\R6.Release\\dev\\src\\common\\redIO\\src\\redIOAsyncIO.cpp
.rdata:0000000143080FF0	0000003E	C	E:\\R6.Release\\dev\\src\\common\\redIO\\src\\redIOWorkerGeneric.cpp
.rdata:0000000143080F18	0000003C	C	E:\\R6.Release\\dev\\src\\common\\redIO\\src\\redIOWorkerWin32.cpp
.rdata:00000001430833E0	0000003C	C	E:\\R6.Release\\dev\\src\\common\\redJobs2\\src\\jobDispatcher.cpp
.rdata:0000000143127A80	00000041	C	E:\\R6.Release\\dev\\src\\common\\redJobs2\\src\\jobLockFreeQueueMPMC.h
.rdata:0000000143083420	00000046	C	E:\\R6.Release\\dev\\src\\common\\redJobs2\\src\\jobScopeMemoryAllocator.cpp
.rdata:0000000143127BC0	00000040	C	E:\\R6.Release\\dev\\src\\common\\redMemory\\include\\uniqueBuffer.hpp
